iter	Passed	Remaining
413	3408	13057
414	3417	13052
415	3426	13047
416	3435	13043
417	3444	13035
418	3453	13029
419	3462	13024
420	3471	13021
421	3481	13016
422	3490	13013
423	3499	13007
424	3508	13001
425	3516	12994
426	3525	12987
427	3536	12990
428	3545	12982
429	3555	12980
430	3563	12972
431	3571	12964
432	3580	12956
433	3589	12952
434	3599	12949
435	3608	12944
436	3617	12939
437	3626	12932
438	3636	12929
439	3644	12921
440	3652	12910
441	3660	12901
442	3669	12897
443	3678	12891
444	3687	12886
445	3696	12878
446	3706	12876
447	3716	12873
448	3725	12868
449	3733	12860
450	3742	12852
451	3750	12846
452	3759	12839
453	3768	12832
454	3776	12823
455	3785	12819
456	3795	12814
457	3805	12811
458	3814	12807
459	3823	12799
460	3832	12794
461	3842	12791
462	3851	12786
463	3860	12781
464	3870	12775
465	3879	12771
466	3888	12765
467	3897	12757
468	3905	12749
469	3914	12743
470	3925	12744
471	3936	12744
472	3947	12742
473	3956	12738
474	3964	12728
475	3973	12723
476	3983	12718
477	3991	12710
478	3999	12700
479	4009	12695
480	4018	12689
481	4026	12679
482	4035	12674
483	4045	12672
484	4056	12670
485	4065	12665
486	4073	12656
487	4082	12647
488	4091	12642
489	4099	12634
490	4109	12628
491	4117	12621
492	4127	12616
493	4135	12606
494	4146	12607
495	4156	12602
496	4165	12596
497	4174	12589
498	4182	12579
499	4190	12572
500	4200	12567
501	4209	12560
502	4219	12556
503	4227	12548
504	4234	12536
505	4243	12529
506	4252	12522
507	4261	12516
508	4271	12512
509	4281	12508
510	4288	12495
511	4293	12478
512	4300	12466
513	4307	12453
514	4314	12439
515	4320	12425
516	4327	12412
517	4333	12397
518	4341	12388
519	4351	12383
520	4358	12371
521	4364	12356
522	4370	12342
523	4375	12324
524	4381	12309
525	4387	12296
526	4394	12284
527	4401	12270
528	4408	12259
529	4415	12245
530	4419	12227
531	4425	12212
532	4432	12200
533	4439	12186
534	4446	12175
535	4453	12164
536	4460	12153
537	4469	12145
538	4479	12142
539	4489	12137
540	4498	12131
541	4507	12126
542	4516	12119
543	4526	12114
544	4536	12109
545	4545	12103
546	4551	12091
547	4560	12083
548	4569	12076
549	4577	12068
550	4586	12062
551	4595	12053
552	4603	12045
553	4612	12040
554	4620	12030
555	4630	12026
556	4638	12016
557	4647	12010
558	4656	12004
559	4665	11996
560	4673	11989
561	4683	11982
562	4692	11978
563	4702	11972
564	4710	11964
565	4719	11957
566	4728	11950
567	4736	11941
568	4745	11935
569	4754	11928
570	4762	11919
571	4772	11914
572	4780	11905
573	4789	11899
574	4798	11892
575	4808	11887
576	4818	11882
577	4826	11874
578	4836	11869
579	4845	11863
580	4855	11858
581	4864	11852
582	4873	11846
583	4882	11838
584	4891	11832
585	4900	11824
586	4909	11818
587	4918	11811
588	4927	11803
589	4938	11801
590	4948	11798
591	4957	11790
592	4965	11782
593	4973	11773
594	4983	11767
595	4992	11760
596	5002	11755
597	5010	11745
598	5018	11736
599	5026	11728
600	5036	11723
601	5044	11715
602	5053	11706
603	5062	11699
604	5071	11693
605	5080	11686
606	5089	11680
607	5099	11674
608	5108	11667
609	5116	11658
610	5125	11652
611	5135	11646
612	5143	11638
613	5151	11628
614	5158	11616
615	5164	11604
616	5171	11592
617	5179	11581
618	5185	11568
619	5192	11557
620	5200	11547
621	5208	11539
622	5217	11533
623	5227	11528
624	5236	11520
625	5246	11514
626	5256	11511
627	5266	11505
628	5275	11498
629	5285	11492
630	5295	11488
631	5303	11479
632	5314	11477
633	5323	11469
634	5330	11459
635	5338	11450
636	5349	11446
637	5358	11439
638	5367	11432
639	5377	11426
640	5385	11417
641	5394	11411
642	5405	11407
643	5414	11400
644	5422	11390
645	5432	11386
646	5441	11379
647	5451	11374
648	5462	11370
649	5470	11362
650	5479	11355
651	5488	11346
652	5497	11339
653	5506	11333
654	5515	11326
655	5525	11320
656	5534	11312
657	5545	11309
658	5554	11302
659	5564	11296
660	5574	11291
661	5583	11284
662	5591	11276
663	5601	11270
664	5610	11262
665	5618	11254
666	5628	11248
667	5637	11242
668	5647	11235
669	5655	11227
670	5664	11218
671	5673	11211
672	5683	11206
673	5692	11198
674	5701	11192
675	5711	11185
676	5720	11179
677	5730	11172
678	5737	11162
679	5746	11155
680	5755	11147
681	5764	11139
682	5773	11132
683	5782	11125
684	5791	11118
685	5800	11111
686	5810	11104
687	5819	11097
688	5827	11087
689	5835	11079
690	5843	11070
691	5852	11062
692	5862	11056
693	5871	11048
694	5878	11038
695	5887	11030
696	5896	11022
697	5904	11013
698	5912	11005
699	5921	10997
700	5931	10990
701	5939	10982
702	5948	10974
703	5957	10967
704	5967	10960
705	5976	10953
706	5986	10948
707	5995	10941
708	6003	10932
709	6013	10925
710	6022	10918
711	6033	10913
712	6041	10905
713	6051	10898
714	6059	10890
715	6068	10881
716	6076	10873
717	6083	10862
718	6091	10852
719	6100	10846
720	6107	10835
721	6116	10826
722	6126	10820
723	6135	10813
724	6144	10805
725	6153	10798
726	6163	10791
727	6172	10784
728	6180	10776
729	6190	10769
730	6200	10763
731	6210	10757
732	6219	10750
733	6229	10745
734	6238	10737
735	6248	10730
736	6256	10722
737	6264	10713
738	6273	10704
739	6283	10698
740	6291	10689
741	6301	10683
742	6310	10675
743	6319	10669
744	6328	10660
745	6337	10652
746	6347	10647
747	6357	10640
748	6367	10634
749	6377	10629
750	6385	10619
751	6396	10614
752	6405	10608
753	6415	10600
754	6423	10592
755	6434	10588
756	6444	10582
757	6452	10573
758	6461	10564
759	6470	10556
760	6481	10552
761	6489	10542
762	6497	10533
763	6505	10525
764	6514	10517
765	6523	10508
766	6532	10501
767	6542	10494
768	6551	10486
769	6560	10480
770	6569	10472
771	6579	10465
772	6589	10460
773	6598	10452
774	6606	10442
775	6614	10432
776	6622	10423
777	6629	10413
778	6637	10403
779	6645	10394
780	6654	10387
781	6663	10378
782	6673	10372
783	6682	10364
784	6691	10357
785	6700	10349
786	6709	10341
787	6718	10333
788	6728	10326
789	6736	10317
790	6745	10309
791	6754	10302
792	6766	10298
793	6773	10288
794	6780	10276
795	6789	10270
796	6798	10262
797	6807	10253
798	6815	10244
799	6824	10237
800	6832	10227
801	6841	10218
802	6849	10210
803	6859	10203
804	6868	10196
805	6878	10190
806	6887	10181
807	6896	10173
808	6904	10164
809	6912	10155
810	6920	10146
811	6927	10134
812	6933	10123
813	6941	10113
814	6948	10102
815	6955	10092
816	6964	10084
817	6972	10075
818	6979	10064
819	6989	10057
820	6997	10048
821	7004	10038
822	7013	10029
823	7022	10022
824	7032	10015
825	7042	10009
826	7051	10002
827	7060	9993
828	7069	9985
829	7077	9976
830	7086	9968
831	7096	9961
832	7105	9955
833	7114	9947
834	7124	9939
835	7134	9933
836	7143	9926
837	7154	9920
838	7164	9913
839	7173	9905
840	7181	9897
841	7189	9887
842	7197	9878
843	7206	9870
844	7217	9865
845	7227	9858
846	7236	9851
847	7245	9842
848	7255	9836
849	7264	9828
850	7272	9818
851	7280	9809
852	7290	9803
853	7300	9796
854	7307	9786
855	7315	9776
856	7324	9768
857	7331	9758
858	7340	9750
859	7349	9742
860	7358	9734
861	7368	9727
862	7377	9719
863	7386	9711
864	7394	9702
865	7403	9694
866	7412	9686
867	7421	9679
868	7430	9671
869	7439	9662
870	7447	9653
871	7455	9643
872	7462	9634
873	7472	9627
874	7481	9619
875	7490	9610
876	7499	9602
877	7508	9595
878	7515	9584
879	7523	9575
880	7532	9567
881	7542	9560
882	7551	9552
883	7558	9541
884	7565	9531
885	7571	9519
886	7578	9508
887	7585	9499
888	7594	9491
889	7603	9483
890	7612	9475
891	7621	9466
892	7629	9458
893	7638	9449
894	7646	9441
895	7656	9434
896	7664	9424
897	7673	9416
898	7681	9406
899	7690	9399
900	7699	9391
901	7709	9384
902	7718	9377
903	7727	9368
904	7736	9360
905	7745	9352
906	7754	9344
907	7763	9337
908	7772	9328
909	7781	9320
910	7790	9313
911	7799	9304
912	7808	9296
913	7816	9287
914	7824	9278
915	7833	9269
916	7843	9263
917	7852	9254
918	7859	9244
919	7868	9236
920	7880	9232
921	7889	9224
922	7897	9215
923	7906	9207
924	7915	9199
925	7925	9192
926	7934	9184
927	7943	9175
928	7950	9166
929	7958	9156
930	7967	9148
931	7974	9137
932	7984	9131
933	7992	9122
934	8000	9112
935	8009	9104
936	8017	9095
937	8026	9087
938	8034	9078
939	8043	9070
940	8053	9063
941	8061	9054
942	8069	9045
943	8078	9037
944	8087	9028
945	8096	9020
946	8104	9011
947	8113	9003
948	8120	8993
949	8129	8985
950	8138	8977
951	8148	8970
952	8157	8962
953	8168	8956
954	8177	8947
955	8185	8939
956	8194	8930
957	8202	8921
958	8211	8913
959	8220	8905
960	8229	8897
961	8238	8889
962	8247	8881
963	8256	8873
964	8265	8864
965	8274	8856
966	8282	8847
967	8290	8839
968	8300	8831
969	8307	8821
970	8316	8813
971	8323	8803
972	8332	8794
973	8342	8787
974	8352	8780
975	8361	8772
976	8369	8763
977	8376	8753
978	8386	8746
979	8397	8740
980	8406	8731
981	8414	8722
982	8422	8714
983	8431	8706
984	8440	8697
985	8448	8688
986	8456	8679
987	8465	8671
988	8474	8662
989	8484	8656
990	8494	8648
991	8503	8640
992	8512	8632
993	8522	8625
994	8530	8616
995	8538	8607
996	8546	8597
997	8553	8587
998	8561	8578
999	8570	8570
1000	8580	8563
1001	8589	8555
1002	8598	8546
1003	8608	8539
1004	8619	8533
1005	8629	8526
1006	8637	8517
1007	8646	8509
1008	8658	8504
1009	8668	8497
1010	8679	8490
1011	8688	8482
1012	8698	8475
1013	8708	8467
1014	8717	8459
1015	8726	8451
1016	8735	8443
1017	8743	8434
1018	8753	8427
1019	8764	8421
1020	8773	8412
1021	8781	8403
1022	8792	8396
1023	8801	8388
1024	8810	8381
1025	8819	8372
1026	8828	8364
1027	8838	8356
1028	8847	8348
1029	8857	8341
1030	8865	8332
1031	8874	8324
1032	8884	8316
1033	8894	8309
1034	8903	8301
1035	8911	8292
1036	8920	8283
1037	8930	8276
1038	8938	8267
1039	8947	8259
1040	8956	8250
1041	8964	8241
1042	8973	8233
1043	8982	8225
1044	8991	8217
1045	9000	8209
1046	9009	8200
1047	9017	8191
1048	9027	8184
1049	9036	8176
1050	9045	8167
1051	9052	8157
1052	9061	8149
1053	9070	8141
1054	9078	8132
1055	9087	8123
1056	9095	8114
1057	9106	8108
1058	9115	8100
1059	9122	8090
1060	9130	8080
1061	9139	8072
1062	9148	8063
1063	9157	8056
1064	9166	8047
1065	9175	8039
1066	9185	8032
1067	9193	8022
1068	9202	8014
1069	9211	8006
1070	9220	7997
1071	9229	7990
1072	9239	7982
1073	9250	7975
1074	9259	7967
1075	9268	7959
1076	9275	7949
1077	9285	7941
1078	9294	7933
1079	9302	7924
1080	9311	7916
1081	9317	7905
1082	9323	7894
1083	9328	7882
1084	9334	7872
1085	9343	7864
1086	9349	7852
1087	9356	7842
1088	9362	7832
1089	9370	7823
1090	9380	7815
1091	9389	7807
1092	9398	7799
1093	9406	7790
1094	9412	7778
1095	9419	7769
1096	9427	7759
1097	9433	7749
1098	9441	7740
1099	9450	7731
1100	9458	7722
1101	9465	7713
1102	9472	7703
1103	9479	7693
1104	9488	7684
1105	9495	7675
1106	9502	7665
1107	9510	7656
1108	9517	7646
1109	9526	7638
1110	9536	7631
1111	9544	7621
1112	9553	7613
1113	9562	7605
1114	9572	7597
1115	9580	7588
1116	9590	7581
1117	9599	7572
1118	9608	7564
1119	9617	7556
1120	9626	7548
1121	9634	7539
1122	9642	7530
1123	9651	7522
1124	9661	7514
1125	9669	7505
1126	9677	7496
1127	9687	7488
1128	9695	7479
1129	9703	7471
1130	9712	7462
1131	9721	7454
1132	9730	7445
1133	9740	7438
1134	9748	7429
1135	9757	7421
1136	9766	7413
1137	9775	7404
1138	9784	7395
1139	9793	7387
1140	9801	7379
1141	9810	7370
1142	9819	7362
1143	9828	7354
1144	9837	7345
1145	9847	7337
1146	9856	7329
1147	9865	7321
1148	9874	7313
1149	9883	7305
1150	9892	7296
1151	9901	7288
1152	9910	7280
1153	9920	7273
1154	9931	7265
1155	9939	7256
1156	9947	7247
1157	9956	7239
1158	9963	7229
1159	9971	7220
1160	9980	7212
1161	9990	7204
1162	10000	7197
1163	10009	7188
1164	10017	7180
1165	10027	7172
1166	10035	7163
1167	10044	7154
1168	10053	7146
1169	10064	7139
1170	10074	7131
1171	10082	7123
1172	10090	7114
1173	10097	7104
1174	10106	7095
1175	10115	7087
1176	10124	7079
1177	10133	7070
1178	10141	7062
1179	10151	7054
1180	10161	7046
1181	10168	7037
1182	10176	7027
1183	10183	7018
1184	10193	7010
1185	10204	7003
1186	10213	6995
1187	10222	6986
1188	10231	6978
1189	10240	6970
1190	10248	6961
1191	10260	6954
1192	10269	6946
1193	10278	6938
1194	10287	6930
1195	10295	6921
1196	10305	6913
1197	10313	6904
1198	10322	6896
1199	10332	6888
1200	10341	6879
1201	10349	6870
1202	10357	6861
1203	10365	6853
1204	10376	6846
1205	10385	6837
1206	10394	6829
1207	10402	6820
1208	10411	6812
1209	10420	6803
1210	10430	6795
1211	10439	6787
1212	10448	6778
1213	10458	6771
1214	10467	6762
1215	10474	6753
1216	10481	6743
1217	10490	6735
1218	10499	6727
1219	10508	6718
1220	10515	6709
1221	10525	6700
1222	10534	6692
1223	10542	6684
1224	10551	6675
1225	10561	6667
1226	10572	6660
1227	10582	6652
1228	10591	6644
1229	10599	6635
1230	10608	6627
1231	10618	6619
1232	10626	6610
1233	10634	6601
1234	10644	6593
1235	10653	6585
1236	10663	6577
1237	10671	6568
1238	10678	6559
1239	10686	6550
1240	10695	6541
1241	10705	6533
1242	10714	6524
1243	10723	6516
1244	10732	6508
1245	10741	6499
1246	10750	6491
1247	10759	6483
1248	10768	6475
1249	10776	6466
1250	10785	6457
1251	10794	6449
1252	10803	6440
1253	10812	6432
1254	10821	6424
1255	10831	6416
1256	10840	6407
1257	10848	6398
1258	10857	6390
1259	10866	6382
1260	10875	6373
1261	10885	6365
1262	10893	6356
1263	10901	6347
1264	10910	6339
1265	10917	6329
1266	10926	6321
1267	10933	6311
1268	10943	6303
1269	10951	6294
1270	10959	6285
1271	10968	6277
1272	10976	6268
1273	10985	6259
1274	10995	6252
1275	11004	6244
1276	11013	6235
1277	11021	6226
1278	11030	6218
1279	11038	6209
1280	11049	6201
1281	11055	6191
1282	11063	6182
1283	11072	6174
1284	11080	6165
1285	11091	6158
1286	11100	6149
1287	11108	6140
1288	11117	6132
1289	11127	6124
1290	11135	6115
1291	11144	6107
1292	11154	6098
1293	11162	6090
1294	11171	6081
1295	11179	6072
1296	11187	6063
1297	11197	6055
1298	11205	6046
1299	11213	6037
1300	11221	6029
1301	11230	6020
1302	11239	6012
1303	11248	6003
1304	11258	5995
1305	11266	5987
1306	11276	5979
1307	11284	5969
1308	11292	5960
1309	11301	5952
1310	11308	5943
1311	11319	5935
1312	11328	5927
1313	11338	5919
1314	11346	5910
1315	11355	5902
1316	11363	5893
1317	11371	5884
1318	11380	5875
1319	11389	5867
1320	11397	5858
1321	11406	5849
1322	11415	5841
1323	11425	5833
1324	11435	5825
1325	11443	5816
1326	11453	5808
1327	11462	5800
1328	11470	5791
1329	11479	5783
1330	11488	5774
1331	11497	5765
1332	11505	5757
1333	11514	5748
1334	11524	5740
1335	11534	5732
1336	11543	5724
1337	11552	5715
1338	11561	5707
1339	11570	5698
1340	11582	5691
1341	11591	5683
1342	11600	5675
1343	11609	5666
1344	11618	5658
1345	11627	5649
1346	11635	5640
1347	11643	5631
1348	11653	5623
