СВАО,Бутырская,7.5,14,74.1,1,38540000.0
Новая Москва,Саларьево,21.4,19,25.3,1,6900000.0
ЮАО,Красногвардейская,17.3,2,74.2,1,19700000.0
СЗАО,Волоколамская,17.9,13,39.0,1,11000000.0
СЗАО,Терехово,10.4,17,45.2,1,26112040.0
СВАО,Алексеевская,6.2,10,68.0,1,35000000.0
ЮВАО,Текстильщики,20.3,15,37.1,1,11583640.0
Новая Москва,Саларьево,20.5,30,52.7,1,15047906.0
Новая Москва,Саларьево,17.1,30,21.4,1,8890069.0
ЮВАО,Текстильщики,9.4,18,30.7,1,8800000.0
ЦАО,Шелепиха,6.4,10,56.3,0,19500000.0
САО,Селигерская,12.8,10,83.0,0,33588849.0
Новая Москва,Румянцево,16.9,16,66.2,0,11954984.0
ЗАО,Мичуринский проспект,11.2,10,85.6,0,39427360.0
ЮВАО,Угрешская,4.2,9,91.6,0,28810581.0
ЮАО,Тульская,4.9,3,40.0,0,30000000.0
Новая Москва,Новомосковская (2024),16.9,33,52.5,0,12094317.0
ЦАО,Шелепиха,6.2,7,45.0,0,30000000.0
ЦАО,Улица 1905 года,4.2,2,71.1,0,31600000.0
Новая Москва,Саларьево,23.6,34,66.0,0,12146436.0
Новая Москва,Новомосковская (2024),16.9,33,57.7,0,13103915.0
СВАО,Свиблово,11.4,4,90.5,0,35000000.0
ЮАО,Тульская,4.9,3,6.12,0,26900000.0
ЮЗАО,Бунинская аллея,23.7,16,46.8,2,10892130.0
СЗАО,Терехово,10.4,17,73.4,0,34798940.0
ЮЗАО,Улица Скобелевская,22.6,14,6.17,0,8650000.0
ЮАО,Покровское,18.1,25,53.5,0,11950000.0
Новая Москва,Пыхтино (2023),27.0,25,36.0,2,9400000.0
СЗАО,Трикотажная,16.4,19,42.2,2,15355736.0
Новая Москва,Саларьево,20.5,30,84.7,0,21706578.0
ЦАО,Рижская,4.3,7,64.3,2,26000000.0
ЮАО,Павелецкая,6.1,10,66.5,2,37038461.0
ЮВАО,Авиамоторная,4.8,15,84.0,2,26132400.0
САО,Хорошёвская,6.8,10,52.5,2,16134563.0
ЮЗАО,Улица Скобелевская,22.6,14,22.33,2,8300000.0
ЦАО,Шелепиха,6.1,9,11.3,2,20000000.0
ЮВАО,Кузьминки,9.5,17,54.0,2,16400000.0
СВАО,Бабушкинская,13.0,17,36.5,2,9500000.0
Новая Москва,Силикатная,29.1,32,36.5,2,8237471.0
ЮАО,Нагорная,8.9,8,16.4,2,4690000.0
ЮАО,Москворечье,13.9,22,52.3,2,17446077.0
СЗАО,Народное Ополчение,9.5,7,54.7,2,23500000.0
ВАО,Щёлковская,10.9,24,43.0,2,9800000.0
Новая Москва,Саларьево,16.9,30,37.0,2,12321289.0
ЗАО,Мичуринский проспект,11.2,10,76.0,2,31433600.0
ЮВАО,Кожуховская,6.9,13,75.8,2,20750512.0
ЮВАО,Выхино,12.5,12,57.9,3,14700000.0
ЮАО,Варшавская (2022),11.3,8,66.3,3,23346384.0
ЮВАО,Угрешская,5.8,10,37.0,3,18000000.0
ЮАО,Верхние Котлы,4.1,17,64.1,3,26819062.0
САО,Зорге,7.9,15,68.5,3,25735320.0
Новая Москва,Саларьево,21.2,30,61.4,3,16941488.0
ЮЗАО,Севастопольская,10.8,8,80.7,3,22500000.0
САО,Зорге,7.9,15,35.6,3,19160600.0
ЮЗАО,Щербинка,27.7,20,38.3,3,8500000.0
СЗАО,Строгино,15.3,17,39.2,3,11500000.0
ЮЗАО,Бунинская аллея,23.7,16,51.6,3,11762744.0
ЮВАО,Нижегородская,7.7,11,25.7,3,11000000.0
ЮЗАО,Бунинская аллея,23.7,16,40.6,3,9692996.0
САО,Речной вокзал,14.7,10,72.5,3,28000000.0
Новая Москва,Румянцево,17.0,17,74.9,2,14909188.0
ЮАО,Москворечье,13.9,22,62.2,3,20555358.0
ЦАО,Цветной бульвар,2,10,72.1,3,29900000.0
ЮВАО,Некрасовка,6.9,16,45.5,3,12413765.0
ВАО,Перово,10.1,14,44.5,3,11200000.0
ЮВАО,Юго-Восточная,13.6,8,63.0,2,15000000.0
ЮВАО,Некрасовка,20.5,9,55.9,2,14250000.0
ЗАО,Мичуринский проспект,11.2,10,23.32,2,17912220.0
ЗАО,Мичуринский проспект,11.2,10,78.1,2,31435250.0
ВАО,Выхино,12.2,12,63.0,2,13900000.0
