iter	Passed	Remaining
411	3367	12977
412	3376	12976
413	3386	12971
414	3391	12952
415	3398	12940
416	3404	12925
417	3412	12913
418	3420	12906
419	3427	12893
420	3433	12877
421	3442	12873
422	3451	12866
423	3456	12848
424	3462	12830
425	3467	12813
426	3474	12799
427	3479	12779
428	3484	12761
429	3491	12746
430	3497	12732
431	3503	12718
432	3508	12698
433	3514	12679
434	3520	12664
435	3525	12645
436	3530	12626
437	3536	12611
438	3541	12591
439	3546	12572
440	3551	12554
441	3556	12536
442	3562	12519
443	3567	12503
444	3573	12487
445	3579	12471
446	3585	12456
447	3591	12442
448	3597	12427
449	3603	12413
450	3608	12394
451	3615	12381
452	3620	12365
453	3626	12347
454	3632	12335
455	3638	12319
456	3644	12304
457	3650	12291
458	3656	12277
459	3663	12265
460	3670	12252
461	3676	12238
462	3681	12221
463	3688	12208
464	3695	12197
465	3702	12186
466	3708	12174
467	3715	12164
468	3722	12151
469	3729	12141
470	3736	12129
471	3741	12112
472	3747	12096
473	3753	12085
474	3762	12078
475	3769	12067
476	3777	12059
477	3783	12047
478	3789	12034
479	3796	12021
480	3803	12011
481	3811	12004
482	3818	11992
483	3824	11978
484	3829	11962
485	3836	11951
486	3844	11945
487	3850	11931
488	3857	11918
489	3863	11905
490	3868	11889
491	3876	11880
492	3885	11876
493	3890	11861
494	3897	11848
495	3904	11838
496	3910	11824
497	3916	11812
498	3921	11795
499	3926	11780
500	3933	11769
501	3939	11755
502	3946	11745
503	3952	11731
504	3957	11715
505	3962	11700
506	3968	11685
507	3973	11671
508	3979	11656
509	3984	11640
510	3989	11624
511	3994	11609
512	4000	11595
513	4007	11585
514	4016	11581
515	4023	11572
516	4031	11565
517	4037	11552
518	4043	11538
519	4051	11530
520	4058	11521
521	4066	11514
522	4072	11499
523	4080	11493
524	4086	11481
525	4092	11467
526	4099	11459
527	4105	11445
528	4111	11433
529	4119	11426
530	4128	11421
531	4133	11405
532	4139	11392
533	4145	11382
534	4151	11368
535	4156	11353
536	4162	11341
537	4169	11329
538	4175	11316
539	4181	11305
540	4186	11289
541	4191	11274
542	4196	11259
543	4201	11245
544	4206	11231
545	4212	11217
546	4218	11206
547	4224	11193
548	4232	11185
549	4237	11172
550	4242	11158
551	4248	11144
552	4255	11134
553	4261	11122
554	4267	11109
555	4272	11097
556	4278	11083
557	4283	11070
558	4289	11058
559	4295	11046
560	4301	11033
561	4307	11020
562	4312	11007
563	4317	10993
564	4323	10981
565	4330	10970
566	4335	10958
567	4342	10947
568	4347	10933
569	4353	10921
570	4359	10911
571	4366	10901
572	4372	10888
573	4377	10874
574	4382	10860
575	4388	10848
576	4394	10837
577	4399	10824
578	4404	10809
579	4409	10796
580	4414	10782
581	4420	10770
582	4427	10760
583	4432	10746
584	4437	10733
585	4442	10720
586	4447	10706
587	4453	10694
588	4459	10682
589	4465	10670
590	4470	10657
591	4476	10645
592	4481	10633
593	4487	10621
594	4492	10609
595	4498	10596
596	4504	10586
597	4510	10574
598	4516	10564
599	4521	10551
600	4527	10538
601	4532	10526
602	4538	10513
603	4543	10502
604	4549	10489
605	4555	10479
606	4560	10466
607	4566	10453
608	4571	10442
609	4576	10429
610	4582	10417
611	4588	10406
612	4594	10394
613	4599	10382
614	4605	10371
615	4611	10361
616	4618	10351
617	4623	10339
618	4629	10329
619	4635	10318
620	4640	10305
621	4646	10293
622	4652	10283
623	4658	10273
624	4664	10262
625	4673	10258
626	4679	10247
627	4685	10235
628	4689	10222
629	4695	10209
630	4701	10199
631	4707	10190
632	4713	10178
633	4718	10165
634	4723	10153
635	4728	10141
636	4735	10132
637	4741	10121
638	4747	10111
639	4753	10101
640	4760	10093
641	4766	10082
642	4772	10071
643	4777	10059
644	4783	10049
645	4789	10038
646	4795	10027
647	4803	10021
648	4809	10012
649	4815	10001
650	4822	9992
651	4827	9981
652	4834	9972
653	4839	9961
654	4844	9948
655	4851	9939
656	4856	9926
657	4861	9915
658	4867	9904
659	4872	9892
660	4877	9880
661	4883	9870
662	4891	9863
663	4899	9857
664	4904	9846
665	4909	9834
666	4915	9824
667	4921	9812
668	4926	9801
669	4933	9792
670	4938	9781
671	4943	9769
672	4949	9760
673	4957	9753
674	4967	9750
675	4974	9743
676	4982	9736
677	4988	9726
678	4994	9716
679	5000	9707
680	5006	9697
681	5012	9686
682	5017	9675
683	5025	9669
684	5031	9659
685	5037	9649
686	5043	9638
687	5048	9626
688	5054	9616
689	5059	9605
690	5064	9593
691	5069	9581
692	5075	9572
693	5081	9562
694	5086	9551
695	5091	9540
696	5097	9528
697	5102	9517
698	5108	9507
699	5112	9495
700	5117	9483
701	5123	9473
702	5128	9462
703	5134	9452
704	5140	9442
705	5146	9432
706	5151	9420
707	5157	9410
708	5162	9400
709	5169	9391
710	5174	9381
711	5179	9369
712	5184	9358
713	5190	9348
714	5195	9337
715	5200	9326
716	5206	9317
717	5212	9307
718	5219	9299
719	5225	9289
720	5231	9279
721	5237	9271
722	5244	9262
723	5250	9254
724	5259	9249
725	5265	9239
726	5271	9230
727	5278	9223
728	5284	9213
729	5290	9203
730	5296	9195
731	5302	9185
732	5309	9177
733	5315	9167
734	5322	9160
735	5329	9152
736	5336	9144
737	5342	9135
738	5350	9129
739	5358	9123
740	5364	9114
741	5370	9106
742	5378	9099
743	5387	9094
744	5393	9085
745	5398	9075
746	5406	9068
747	5415	9065
748	5426	9063
749	5435	9058
750	5443	9052
751	5450	9044
752	5456	9035
753	5462	9026
754	5467	9016
755	5474	9008
756	5480	8998
757	5486	8989
758	5491	8979
759	5497	8968
760	5502	8959
761	5509	8950
762	5514	8940
763	5521	8932
764	5526	8922
765	5532	8912
766	5538	8903
767	5543	8893
768	5551	8885
769	5556	8876
770	5561	8864
771	5567	8855
772	5572	8846
773	5579	8837
774	5584	8826
775	5590	8817
776	5595	8807
777	5602	8799
778	5608	8790
779	5613	8780
780	5620	8772
781	5627	8764
782	5635	8758
783	5641	8750
784	5648	8742
785	5655	8734
786	5660	8724
787	5667	8717
788	5673	8707
789	5679	8699
790	5686	8691
791	5692	8681
792	5699	8675
793	5705	8666
794	5711	8657
795	5718	8650
796	5725	8642
797	5731	8633
798	5740	8627
799	5746	8619
800	5753	8612
801	5761	8605
802	5766	8596
803	5772	8587
804	5777	8576
805	5784	8568
806	5789	8559
807	5795	8550
808	5802	8542
809	5808	8532
810	5813	8523
811	5821	8516
812	5827	8507
813	5831	8496
814	5837	8487
815	5843	8478
816	5848	8468
817	5854	8458
818	5859	8448
819	5865	8441
820	5870	8431
821	5875	8420
822	5882	8412
823	5887	8403
824	5893	8393
825	5899	8384
826	5905	8375
827	5910	8365
828	5916	8357
829	5921	8346
830	5926	8337
831	5931	8327
832	5936	8317
833	5941	8307
834	5948	8298
835	5953	8289
836	5958	8279
837	5963	8269
838	5969	8261
839	5978	8256
840	5985	8248
841	5990	8238
842	5996	8230
843	6003	8222
844	6009	8213
845	6014	8204
846	6019	8194
847	6024	8184
848	6029	8174
849	6034	8164
850	6040	8156
851	6046	8146
852	6051	8137
853	6058	8129
854	6064	8121
855	6070	8112
856	6077	8105
857	6083	8096
858	6088	8086
859	6093	8077
860	6099	8068
861	6105	8060
862	6110	8050
863	6116	8041
864	6122	8033
865	6128	8024
866	6134	8016
867	6139	8006
868	6144	7996
869	6149	7987
870	6154	7977
871	6159	7967
872	6165	7959
873	6171	7950
874	6176	7941
875	6181	7931
876	6186	7922
877	6193	7914
878	6200	7907
879	6206	7898
880	6213	7892
881	6218	7882
882	6223	7872
883	6229	7864
884	6234	7854
885	6240	7846
886	6249	7841
887	6255	7833
888	6261	7825
889	6268	7818
890	6275	7810
891	6284	7806
892	6291	7799
893	6297	7791
894	6304	7783
895	6310	7775
896	6319	7770
897	6325	7762
898	6332	7755
899	6338	7746
900	6344	7738
901	6350	7729
902	6355	7720
903	6361	7712
904	6369	7706
905	6376	7700
906	6384	7693
907	6390	7685
908	6398	7679
909	6405	7672
910	6411	7664
911	6418	7657
912	6424	7648
913	6431	7642
914	6437	7633
915	6444	7626
916	6451	7619
917	6456	7610
918	6462	7602
919	6469	7594
920	6475	7586
921	6480	7577
922	6485	7567
923	6491	7559
924	6497	7550
925	6502	7541
926	6507	7532
927	6514	7525
928	6519	7515
929	6526	7509
930	6533	7501
931	6538	7492
932	6544	7484
933	6549	7475
934	6554	7466
935	6561	7459
936	6567	7451
937	6573	7442
938	6581	7436
939	6587	7428
940	6593	7420
941	6598	7411
942	6604	7402
943	6610	7394
944	6616	7386
945	6622	7378
946	6629	7371
947	6636	7364
948	6642	7356
949	6651	7351
950	6657	7343
951	6662	7334
952	6668	7326
953	6675	7318
954	6684	7313
955	6691	7307
956	6698	7300
957	6705	7293
958	6711	7285
959	6718	7278
960	6724	7270
961	6729	7261
962	6736	7253
963	6742	7246
964	6747	7236
965	6752	7228
966	6759	7220
967	6765	7213
968	6771	7205
969	6779	7199
970	6787	7192
971	6793	7184
972	6799	7177
973	6807	7171
974	6813	7162
975	6821	7157
976	6829	7151
977	6836	7143
978	6842	7136
979	6849	7128
980	6855	7121
981	6861	7112
982	6868	7106
983	6879	7103
984	6888	7097
985	6894	7090
986	6903	7084
987	6911	7079
988	6917	7071
989	6924	7064
990	6929	7055
991	6936	7048
992	6942	7040
993	6948	7032
994	6957	7027
995	6965	7021
996	6975	7017
997	6983	7011
998	6991	7005
999	6997	6997
1000	7006	6992
1001	7015	6987
1002	7024	6981
1003	7029	6973
1004	7037	6967
1005	7044	6960
1006	7051	6953
1007	7058	6946
1008	7064	6938
1009	7070	6930
1010	7075	6921
1011	7082	6914
1012	7089	6907
1013	7096	6900
1014	7103	6893
1015	7109	6885
1016	7117	6879
1017	7127	6875
1018	7136	6870
1019	7142	6862
1020	7148	6854
1021	7157	6849
1022	7165	6843
1023	7172	6836
1024	7178	6828
1025	7187	6822
1026	7193	6815
1027	7200	6807
1028	7206	6800
1029	7213	6793
1030	7220	6786
1031	7228	6780
1032	7235	6773
1033	7241	6764
1034	7247	6757
1035	7253	6749
1036	7259	6741
1037	7265	6733
1038	7271	6725
1039	7277	6717
1040	7284	6710
1041	7289	6701
1042	7295	6693
1043	7301	6685
1044	7307	6678
1045	7313	6670
1046	7320	6663
1047	7327	6656
1048	7336	6651
1049	7343	6644
1050	7351	6637
1051	7358	6630
1052	7365	6623
1053	7371	6616
1054	7379	6609
1055	7385	6602
1056	7390	6593
1057	7395	6584
1058	7400	6576
1059	7407	6568
1060	7412	6560
1061	7418	6551
1062	7422	6543
1063	7429	6535
1064	7436	6528
1065	7443	6521
1066	7449	6513
1067	7455	6506
1068	7463	6499
1069	7470	6493
1070	7477	6486
1071	7485	6479
1072	7491	6472
1073	7499	6465
1074	7507	6459
1075	7513	6452
1076	7521	6446
1077	7528	6438
1078	7535	6432
1079	7542	6424
1080	7549	6418
1081	7558	6412
1082	7564	6405
1083	7570	6397
1084	7576	6389
1085	7585	6384
1086	7592	6377
1087	7600	6371
1088	7607	6363
1089	7614	6357
1090	7620	6349
1091	7629	6343
1092	7635	6336
1093	7640	6327
1094	7649	6322
1095	7655	6314
1096	7662	6307
1097	7669	6300
1098	7675	6292
1099	7682	6285
1100	7689	6278
1101	7696	6272
1102	7702	6263
1103	7708	6255
1104	7716	6250
1105	7722	6242
1106	7729	6235
1107	7738	6229
1108	7747	6224
1109	7754	6217
1110	7762	6211
1111	7771	6206
1112	7780	6200
1113	7786	6192
1114	7793	6185
1115	7802	6180
1116	7811	6175
1117	7820	6169
1118	7831	6165
1119	7843	6162
1120	7854	6159
1121	7863	6153
1122	7871	6147
1123	7880	6141
1124	7891	6137
1125	7900	6132
1126	7908	6126
1127	7917	6120
1128	7923	6112
1129	7932	6107
1130	7940	6101
1131	7947	6094
1132	7952	6085
1133	7958	6077
1134	7964	6069
1135	7970	6062
1136	7980	6057
1137	7987	6050
1138	7996	6044
1139	8004	6038
1140	8015	6034
1141	8024	6028
1142	8032	6022
1143	8041	6017
1144	8050	6011
1145	8061	6007
1146	8070	6001
1147	8078	5995
1148	8089	5991
1149	8098	5986
1150	8107	5980
1151	8117	5975
1152	8131	5973
1153	8141	5968
1154	8148	5961
1155	8155	5954
1156	8160	5945
1157	8166	5937
1158	8172	5930
1159	8177	5921
1160	8183	5914
1161	8189	5906
1162	8195	5898
1163	8200	5889
1164	8205	5881
1165	8210	5872
1166	8215	5864
1167	8221	5856
1168	8227	5848
1169	8233	5840
1170	8239	5833
1171	8246	5825
1172	8254	5819
1173	8261	5812
1174	8267	5805
1175	8274	5797
1176	8279	5789
1177	8285	5781
1178	8292	5774
1179	8299	5767
1180	8305	5759
1181	8310	5751
1182	8317	5744
1183	8324	5737
1184	8331	5729
1185	8337	5722
1186	8343	5714
1187	8350	5707
1188	8356	5699
1189	8362	5691
1190	8368	5684
1191	8373	5676
1192	8380	5668
1193	8386	5661
1194	8392	5653
1195	8398	5645
1196	8404	5637
1197	8410	5630
1198	8417	5623
1199	8422	5615
1200	8428	5607
1201	8434	5599
1202	8441	5592
1203	8446	5584
1204	8452	5576
1205	8457	5568
1206	8463	5560
1207	8468	5552
1208	8474	5544
1209	8480	5537
1210	8486	5529
1211	8493	5522
1212	8500	5515
1213	8506	5507
1214	8512	5499
1215	8518	5492
1216	8524	5484
1217	8530	5476
1218	8535	5468
1219	8540	5460
1220	8545	5452
1221	8552	5445
1222	8557	5436
1223	8562	5428
1224	8567	5420
1225	8572	5412
1226	8578	5404
1227	8583	5395
1228	8587	5387
1229	8593	5379
1230	8598	5371
1231	8604	5363
1232	8612	5357
1233	8618	5349
1234	8624	5342
1235	8631	5335
1236	8636	5327
1237	8644	5320
1238	8652	5314
1239	8658	5306
1240	8666	5300
1241	8673	5293
1242	8678	5285
1243	8686	5278
1244	8694	5272
1245	8701	5265
1246	8709	5259
1247	8717	5253
1248	8725	5246
1249	8733	5240
1250	8742	5234
1251	8753	5229
1252	8763	5224
1253	8770	5217
1254	8780	5212
1255	8789	5206
1256	8798	5200
1257	8809	5195
1258	8818	5190
1259	8826	5183
1260	8836	5178
1261	8845	5173
1262	8855	5167
1263	8863	5161
1264	8871	5154
1265	8878	5147
1266	8884	5140
1267	8893	5133
1268	8900	5127
1269	8908	5120
1270	8915	5113
1271	8924	5107
1272	8931	5100
1273	8938	5093
1274	8946	5087
1275	8955	5081
1276	8966	5076
1277	8975	5070
1278	8982	5063
1279	8990	5057
1280	8999	5051
1281	9006	5044
1282	9015	5038
1283	9025	5032
1284	9033	5026
1285	9042	5020
1286	9049	5013
1287	9055	5005
1288	9064	4999
1289	9071	4992
1290	9077	4985
1291	9084	4978
1292	9091	4971
1293	9099	4964
1294	9105	4956
1295	9110	4949
1296	9116	4941
1297	9122	4933
1298	9129	4926
1299	9135	4919
1300	9142	4912
1301	9149	4904
1302	9156	4898
1303	9161	4890
1304	9167	4882
1305	9176	4876
1306	9184	4869
1307	9190	4862
1308	9195	4854
1309	9202	4847
1310	9208	4839
1311	9214	4832
1312	9220	4824
1313	9228	4817
1314	9233	4810
1315	9239	4802
1316	9244	4794
1317	9251	4787
1318	9260	4780
1319	9269	4775
1320	9275	4767
1321	9282	4760
1322	9288	4753
1323	9295	4746
1324	9302	4738
1325	9309	4731
1326	9316	4725
1327	9324	4718
1328	9330	4710
1329	9336	4703
1330	9343	4696
1331	9350	4689
1332	9358	4682
1333	9366	4676
1334	9374	4669
1335	9381	4662
1336	9390	4656
1337	9396	4649
1338	9404	4642
1339	9412	4635
1340	9421	4629
1341	9427	4622
1342	9435	4615
1343	9443	4609
1344	9449	4601
1345	9458	4595
1346	9467	4589
1347	9476	4583
1348	9485	4577
1349	9496	4572
1350	9506	4566
1351	9515	4560
1352	9524	4554
1353	9534	4549
1354	9544	4543
1355	9552	4536
1356	9560	4530
1357	9569	4524
1358	9579	4518
1359	9588	4512
1360	9596	4505
1361	9605	4499
1362	9613	4493
1363	9622	4486
1364	9632	4480
1365	9641	4475
1366	9650	4468
1367	9659	4462
1368	9669	4457
1369	9678	4450
1370	9685	4443
1371	9693	4436
1372	9702	4430
1373	9711	4424
1374	9721	4418
1375	9730	4412
1376	9739	4406
1377	9748	4400
1378	9757	4393
1379	9767	4388
1380	9776	4382
1381	9783	4374
1382	9792	4368
1383	9801	4362
1384	9810	4356
1385	9820	4350
1386	9829	4344
1387	9839	4338
1388	9848	4332
1389	9855	4324
1390	9863	4318
1391	9870	4311
1392	9877	4304
1393	9885	4297
1394	9895	4291
1395	9902	4284
1396	9909	4277
1397	9918	4271
1398	9927	4264
1399	9935	4258
1400	9944	4251
1401	9955	4246
1402	9965	4240
1403	9974	4234
1404	9984	4228
1405	9993	4222
1406	10002	4215
1407	10012	4209
1408	10024	4204
1409	10033	4198
1410	10039	4190
1411	10047	4184
1412	10053	4176
1413	10059	4168
1414	10064	4161
1415	10070	4153
1416	10074	4145
1417	10080	4137
1418	10085	4129
1419	10090	4121
1420	10096	4113
1421	10101	4105
1422	10107	4098
1423	10113	4090
1424	10118	4082
1425	10124	4075
1426	10130	4067
1427	10138	4061
1428	10146	4054
1429	10153	4047
1430	10159	4039
1431	10168	4033
1432	10174	4025
1433	10182	4018
1434	10189	4011
1435	10197	4005
1436	10203	3997
1437	10208	3989
1438	10216	3982
1439	10223	3975
1440	10229	3968
1441	10237	3961
1442	10243	3953
1443	10252	3947
1444	10260	3940
1445	10267	3933
1446	10275	3927
1447	10281	3919
1448	10287	3911
1449	10294	3904
1450	10302	3897
1451	10309	3891
1452	10316	3883
1453	10322	3876
1454	10327	3868
1455	10335	3861
1456	10340	3853
1457	10346	3846
1458	10351	3838
1459	10356	3830
1460	10362	3822
1461	10367	3815
1462	10375	3808
1463	10383	3801
1464	10390	3794
1465	10398	3787
1466	10404	3780
1467	10411	3772
1468	10419	3766
1469	10426	3759
1470	10432	3751
1471	10439	3744
1472	10444	3736
1473	10450	3729
1474	10456	3721
1475	10460	3713
1476	10466	3706
1477	10474	3699
1478	10480	3691
1479	10486	3684
1480	10492	3676
1481	10498	3669
1482	10505	3662
1483	10510	3654
1484	10516	3647
1485	10523	3640
1486	10529	3632
1487	10536	3625
1488	10542	3618
1489	10547	3610
1490	10553	3602
1491	10559	3595
1492	10564	3587
1493	10570	3580
1494	10575	3572
1495	10581	3564
1496	10586	3557
1497	10592	3549
1498	10597	3541
1499	10603	3534
1500	10608	3526
